Dataset 3: glass.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
21;2,3;38,39,43,47,50,63,152,157
106;0,1;111,166
106;0,1,3;97,101,105,110,111,149,165,166,201
106;2,4;107
106;2,4,0;107,131,171,172
106;7,8;207
106;7,8,4;163,189
111;0,1,6;106,110,112
129;4,6;69
132;1,2;2,3,4,6,7,24,43,48,50,58,59,60,62,64,65,69,71,73,76,82,85,87,113,114,115,116,117,118,119,120,122,124,133,134,135,136,140,141,146,147,148,152,161
149;1,2;14,28,30,33,89,97
163;0,3;171,172
163;0,3,2;80,84,174,186,188
163;1,5,3;84,185,186,207,209
163;4,8,2;103,104,186,188,189
164;1,6;48,66,67,68,168,174
166;3,6;165,167,169,175
168;0,4;33,55,97,102,166,167,175,183,192,195,200,202,211,212
172;1,5;171
172;1,5,0;171
173;0,6;170
180;5,6,2;98,100,178,189,190
184;0,3;21,38,39,43,47,48,50,63,69,102,103,109,110,111,112,151,152,157,161,183
184;0,3,4;102,109,180,201
185;0,5;163,186,207
185;0,5,6;163,186,207
186;3,5;84,207
189;0,2,1;178,179,180,181,188
200;1,2;191,193,197,199,202,203,204,205,206,210
200;1,2,6;191,192,193,194,195,196,197,198,199,202,203,204,205,206,208,209,210,211,212,213
201;0,1,4;55,97,102,167,168
201;2,6,1;168
202;4,6;14,15,31,33,92,94,194,200,211,212,213
207;1,2,6;171,172
