Dataset 4: mammography.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
1094;1,3,0;1098,2221,7818,10046
1230;3,5,2;7529
1278;0,3;840
1379;0,2;681,8278,10350
1895;0,2;5207,7318,7917
2220;0,4;4452,6689,7815
2221;0,1,4;3337,7822
2222;0,1;9024
2244;0,2;1628
2244;3,5,2;1628
2796;0,3;5265
2898;0,1;625,4378
2919;0,1,4;134,1062,5729,6214,7358,7429,10316
3332;0,4;11180
3335;0,3,1;2219
3607;0,1;2040
3607;0,1,4,3;5570
3646;0,1;1539,2893,6276,7206,8039
3764;0,1,3;2698,4503
3799;0,1;10004
3981;0,2;3457,9241
4035;0,1;6757
4213;0,4;6704
4464;0,4;7815
4470;0,3;6697
4676;1,4;1301,4180,8694
4790;0,2,3;4470,6697,8921
4911;0,1;10928
5577;2,4,0;1096,1097,3337,4469,7822
5912;2,4;1861,9668
6009;0,2;1755
6264;0,4;3394,11168
6532;2,3;1702,2760
6699;1,4;4452,4464,6689
6757;0,1,3;625,915,1560,2898,4035,4378
7303;0,1;7297
7429;0,4;377,7812,10059,11160
8415;0,2;1323
8921;0,1;6697
8942;0,3;1098,5237,7500,11033
9201;0,2;483,8108
9899;0,2;7529
10674;0,2;5625
11033;0,1;1805,3065,8165
11141;0,1;594,1539
11172;0,4;2234,11182
