Dataset 6: pima.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
1;6,7,1;218
2;0,3,2;44,630
3;4,6;127,156,191,315,373,741
3;4,6,3;315
4;0,1,3,4;414
4;5,7,0;18
5;4,5,1;550
6;0,1,5;570
6;3,4,0;241
8;6,7;676,734
8;6,7,0,1;498
9;0,3,1;517
9;2,4,0;212
9;5,6,0;49
10;6,7,1,2;169,439,620
13;1,6,0,2;360
14;0,1,5;495
16;0,1,3;575
16;0,1,3,2;657
16;4,6,3,0;594
18;0,1,3;448
18;4,6;346,365
18;4,6,1;50
19;0,2,1;550
19;4,6;312
21;0,3,1;15,583
21;0,3,1,2;170
22;0,2,3,1;759
22;4,5,0,1;185,399
25;0,2,1;248
25;4,6,2;623
25;5,7;246
28;0,6,2;375
28;3,5,7;717
29;6,7,1,2;128
30;0,1,2;704
31;0,1,3;645
32;4,6;358,563,625
35;0,2,3;735
35;4,6;236
37;6,7,1;161
38;6,7,1;564
39;0,2,1,3;289
39;4,6;546
40;0,2,3;174
40;4,5,0,2,1;548
41;4,5,0,1;179,523,703,712
42;3,5;599,717
45;2,7,0,1;40
48;0,2,1;587
50;3,5,0;639
51;0,2,3;258
52;0,1,6,4;597
55;0,2,4,1;117
55;5,7,3;585
56;3,5,0,1;425,545
57;2,4,0;755
57;2,4,0,1;640
57;2,4,0,1,3;161,188,328,447
57;5,6,1;270
59;3,6;195,216,302,402,420,469,486,746,756
59;3,6,1;373
60;4,7,2;81,494,697
60;4,7,2,0;49,78,81,172,261,266,269,347,426,430,494,522,535,589,619,697
61;4,5,1;535,592,627
62;4,7,2;264
62;4,7,2,0,1;76,146,352,737
64;2,5,3;143,168
65;4,5,1;15,163
66;3,6,1,2;141,214
67;6,7;43,603
68;0,1,3;134,565
68;0,1,3,4;51
69;3,6,2,1;388,412,417,574,727
71;5,6,1;346
72;0,2,6,1;345
74;0,1,2;432
74;0,1,2,3;501
75;0,1,3,5;182
75;0,1,3,5,2;182,342
75;4,7,1,0,2;342,502
77;0,2,3;204
80;0,1,4,3;200,249,444
80;2,6;575,741
80;2,6,0;741
80;5,7;585
81;4,5,0,1;494
81;6,7;27,32,47,50,59,74,75,80,83,97,101,118,137,142,149,158,166,225,232,241,242,334,340,342,368,376,377,381,397,415,432,441,448,466,471,472,494,513,528,572,573,585,633,647,654,656,680,682,686,697,707,727,728,729,731,733,742
81;6,7,1,2,4;15,60,172,426,430,494,533,589,601,643,697
82;5,7;160
82;5,7,0;170,192
83;4,5,1;268
84;0,2,4,3;207,658
85;4,6,0;696
85;5,7,3;613
86;0,1,4,2,3;23,34,37,38,48,77,121,141,205,255,256,262,267,270,314,321,324,386,410,492,504,556,558,590,602,613,664,667,725,735
87;0,1,2;389
89;0,1,2;202
90;0,1,4,2;210
