Dataset 8: vertebral.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
4;1,5;223
12;2,3;229
13;0,1;216
15;2,3;209
15;2,3,4;59
15;2,3,4,0;59,238
16;0,3,1;200
18;0,1,3;33
20;0,2;169
24;2,4;41
30;2,3;154
32;2,5;56
33;0,1;18
33;0,1,3,2;229
34;0,4;86
34;3,5;25
38;1,2,4;82
42;0,2;13
42;0,2,1;13
46;0,2;209
50;0,1;73
51;2,3;231
52;1,5;217
56;2,5,0;32
59;2,3;39
62;1,2;190
63;2,3;67
65;4,5;63
66;2,3;167
74;0,5;138
74;0,5,1;138
79;2,5;174
79;2,5,3;174
79;2,5,3,0;85
80;0,1;135
80;0,1,3,2;104
82;1,2;38
84;0,1;202
84;0,1,3;202
87;0,3;7
91;1,4,0;132
94;1,2;181
101;3,4;198
101;3,4,2;198
108;1,4;103
109;1,4,0;222
109;1,4,0,2;222
116;2,4;44,110
116;2,4,1;110
117;0,1;188
117;0,1,3;188
120;1,4;79
124;0,1,3,4,2;0,2,3,68,70,89,99,113,119,123,129,132,148,149,152,161,225,233,235
126;2,3;206
126;4,5;154
127;1,4;54
129;0,4;135
132;3,4;136
133;1,4;12
139;1,2,5,0;184
140;1,4;225
144;0,5;187
145;3,5;157
147;3,5;199
150;0,1;184
150;0,1,2;177
153;0,4;14
164;2,3;119
169;0,1;157
169;0,1,3;157
169;0,1,3,4;125
170;0,1;181
170;0,1,3;181
171;1,4;144
183;3,4;21
186;0,1;184
190;1,2,0;62
194;1,4;39
198;0,1;124
198;0,1,3;124,233
200;0,3;16
200;0,3,1,2;143
204;1,5;222
204;1,5,4;102
214;0,2;221
215;3,4;86
216;0,1,2;224
217;2,3;90,222
217;2,3,0;90
218;0,2;44
218;1,3;172
218;1,3,0,2;44,153
220;1,5;213
223;2,4,0;38
227;2,5,3,0;220
228;1,4;36
228;1,4,0;220
228;1,4,0,3;220
231;0,2;4
235;1,2;129
239;0,5;3
