Dataset 10: wine.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
2;0,1,3,4,12;4
2;5,6,0,4,12;4
2;7,9,3,4,12;4
3;0,1,3,4,12;1
3;5,6,0,4,12;1
3;7,8,9,4,12;1
3;10,11,0;0,1,2,4,5,6,7,8,9,13,17,18,22,23,24,27,30,32,36,52,55,56,73,74,91,92,93,94,109
3;10,11,0,4,12;1
4;10,11,0;0,1,2,3,5,6,7,8,9,13,17,19,22,23,24,27,30,32,36,52,55,74,89,91,92,93,94,109,110,112,115,116,119,120,123,124
5;0,1,3,4,12;6
5;5,6,0,4,12;6
5;7,9,0,4,12;6
10;0,1,4,3;27,48
10;2,5;20,27,51
10;2,5,1;2,4,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,29,31,32,33,35,36,37,38,39,40,41,42,43,45,46,48,49,51,52,54,55,57,58,59,60,64,65,66,67,68,76,77,79,81,85,103,105,109,110
10;6,8,0,3;6,8,11,12,17,19,26,27,29,48,69
10;7,9,1;11,15,19,20,21,22,24,25,29,31,33,35,36,37,38,39,40,41,43,45,46,47,48,52,53,54,55,57,58,59,60,62,64,65,66,67,68,76,78,79
10;10,11,0,3;0,4,6,8,11,12,17,19,20,26,27,29,48,69
12;2,9;83,85,89,92,121
13;4,5,0,12;71
17;3,5;8
17;3,5,1,4;18,41,43,57,69
17;6,7,3,4;18,41,43,57,69,97
17;8,11,3,4;18,41,43,57,69,97
19;0,1;13,17,27
22;2,4;32,42,77,98,122
24;2,5,3;72
24;2,5,3,11;22,23,33,38,40,72,73,78,79,88,90,103,108,109,119,120,128
24;6,7,3;78
24;6,7,3,9;22,23,33,38,72,73,78,79,88,103,108
25;0,1,3,4,12;21,108
25;6,8,4,1,12;21,108
25;7,9,3,4,12;21,108
25;10,11,4,0,12;21,108
27;2,4;31,32,54,67,74
29;0,1,7,4,12;19
29;2,3;17
29;2,3,1;4,6,8,11,17,26,27,48
29;2,3,1,12;19
29;2,3,1,12,4;19
29;8,10,3;4,6,8,17,48
29;8,10,3,12;19
29;9,11,3;11,26,27,48,69
29;9,11,3,12;19
29;9,11,3,12,4;19
30;6,7,1,12;72,78
30;8,9,1,12;72,78
31;1,3;14,59
33;8,9,3,4;18,39,41,43,57,58,65,75,80,97
34;4,5;85
34;4,5,1;98
34;4,5,1,12;10,111,116
35;6,8;44,59,66
36;9,11,1,12;12,42
38;0,1,3;79,103
40;5,6,3,12,4;13,33,98,110,115
40;9,11,1;10,15,20,22,24,25,31,33,35,36,37,38,39,41,44,45,46,47,48,52,53,54,55,56,57,59,60,62,64,65,66,67,68,76,78,79
43;4,5,1,12;67
45;6,8,3,12;68
45;10,11,3,12;68
47;5,6,1,4,12;81,120
47;7,8,12,0,4;81,120
48;6,7,3,12;26
48;8,9,3,12;26
49;0,1,4,12;123
49;3,7,1,12;123
49;5,6;8
49;5,6,2;0,1,2,3,4,5,6,8,9,14,16,17,22,24,25,30,45,48,50,60,61,71,74,75,76,77
49;5,6,2,12;109,123
50;0,1,3,12;66
50;9,10,3,12;66
51;2,4;26
59;0,1,4;78
59;0,1,4,12;56
59;3,6,0,12;56
59;5,8,4,12;56
59;7,9,4,12;56
59;10,11,3,12;56
60;0,1;25,38,40,42,54,65,67
60;0,1,4,12;16
60;8,9,4;35
60;8,9,4,12;16
61;0,2;26,45,54,67
61;3,11;54
61;7,8;46
61;7,8,0;20,29,35,46,50,59,60,66,72,75
64;0,1;35
64;0,1,3;21,25,39,42,43,47,55,60,66,67,76,77,105
64;0,1,3,12;53
64;5,6,3,12;53
66;0,2;64,71
66;10,11,0;14,15,16,18,20,25,26,28,29,31,33,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,56,57,59,60,61,62,63,64,65,67,68,70,71,72,73,75,76,77,78,79,80
67;2,6,12;37,43
68;10,11,4;61,112
69;2,9,1,12;76
69;8,10,0,12;76
70;0,1;50,121
70;9,10;40
70;9,10,1;28,30,44,50,56,61,62,73,80
71;0,3;60,63
71;8,9,4;26,51,91
72;0,1,3;78
72;2,7;63,78,120,128
74;6,9,1;73,75
74;7,10,1;73,75,80,87,88,94,97,98,106,107,116,120,124,126,128
75;0,1;80
76;0,1,3,12;74,75
76;7,9,3,12;74,75
77;0,1,3,12;15
77;6,7,3,12;15
79;0,1,3,12;68
79;6,8,3,12;68
79;10,11,3,12;68
80;0,1,3,12;89
80;6,7,3,12;89
80;8,9,1,12;89
81;7,9,3,4;1,3,4,127
83;5,9;82,89,92,114,121
84;0,1,3,12;91
84;8,9,3,12;91
85;0,1,7,12;99
